distance,X,Y,Z,V,max,may,maz,mav
138.562,-0.191536,-4.505888,-9.825804,10.811389,-0.156,-4.628,-9.4,10.491
138.579,-0.014365,-3.873818,-8.403648,9.253539,-0.208,-4.499,-9.509,10.529
138.599,-0.387861,-2.930503,-8.034941,8.561457,-0.366,-4.099,-9.166,10.059
138.619,-0.349553,-2.978387,-7.85777,8.41056,-0.236,-3.572,-8.531,9.259
138.641,-1.005565,-3.438074,-8.983045,9.670915,-0.439,-3.305,-8.32,8.974
138.659,-0.833182,-3.902549,-9.337387,10.154353,-0.644,-3.312,-8.553,9.199
138.679,-0.181959,-5.094861,-9.825804,11.069649,-0.593,-3.853,-9.001,9.826
138.699,-0.287304,-4.884171,-10.764331,11.824065,-0.577,-4.33,-9.728,10.68
138.722,0.191536,-4.520253,-9.844957,10.834785,-0.278,-4.6,-9.943,10.971
138.739,-0.35913,-3.533842,-10.01734,10.628457,-0.159,-4.508,-10.113,11.089
138.759,-0.699107,-3.284845,-7.532158,8.246961,-0.289,-4.056,-9.54,10.384
138.779,-0.167594,-2.379837,-7.321469,7.700365,-0.259,-3.43,-8.679,9.353
138.803,-1.058237,-2.829947,-8.255207,8.790729,-0.571,-3.007,-8.282,8.842
138.819,-1.182736,-4.127604,-9.744401,10.648443,-0.777,-3.156,-8.213,8.847
138.839,-0.56982,-3.98874,-10.620679,11.359294,-0.745,-3.332,-8.985,9.625
138.859,0.067038,-5.291186,-10.218452,11.507298,-0.686,-4.059,-9.71,10.576
138.881,0.92895,-4.395754,-8.911219,9.979751,-0.189,-4.451,-9.874,10.874
138.899,-0.143652,-4.007894,-7.872135,8.834838,0.071,-4.421,-9.406,10.42
138.919,-0.301669,-3.232172,-9.016563,9.583129,0.138,-4.232,-9.005,9.976
138.939,-0.90022,-3.734955,-10.04607,10.755641,-0.104,-3.843,-8.961,9.788
138.961,-1.56102,-3.730166,-9.557653,10.377845,-0.727,-3.676,-9.123,9.888
138.979,0.086191,-3.682282,-7.340622,8.212878,-0.669,-3.595,-8.99,9.732
138.999,-0.181959,-3.275268,-7.924808,8.576891,-0.639,-3.606,-8.717,9.481
139.019,-0.68953,-3.39019,-8.676587,9.340878,-0.587,-3.519,-8.375,9.127
139.046,0.014365,-4.400543,-9.979033,10.90624,-0.193,-3.687,-8.48,9.259
139.059,-0.627281,-4.405331,-9.768343,10.734102,-0.371,-3.868,-9.087,9.89
